name,pgn,uci,epd,result
Watkins Opening,1. e3,e2e3,rnbqkbnr/pppppppp/8/8/8/4P3/PPPP1PPP/RNBQKBNR b - -,
Liardet Defence,1. e3 b6,e2e3 b7b6,rnbqkbnr/p1pppppp/1p6/8/8/4P3/PPPP1PPP/RNBQKBNR w - -,
Polish Defence,1. e3 c5,e2e3 c7c5,rnbqkbnr/pp1ppppp/8/2p5/8/4P3/PPPP1PPP/RNBQKBNR w - -,
Classical Defence,1. e3 b5,e2e3 b7b5,rnbqkbnr/p1pppppp/8/1p6/8/4P3/PPPP1PPP/RNBQKBNR w - -,
Modern Defence,1. e3 e6,e2e3 e7e6,rnbqkbnr/pppp1ppp/4p3/8/8/4P3/PPPP1PPP/RNBQKBNR w - -,
Wild Boar Defence,1. e3 g5,e2e3 g7g5,rnbqkbnr/pppppp1p/8/6p1/8/4P3/PPPP1PPP/RNBQKBNR w - -,
Raven Defence,1. e3 Nh6,e2e3 g8h6,rnbqkb1r/pppppppp/7n/8/8/4P3/PPPP1PPP/RNBQKBNR w - -,
Balkan Defence,1. e3 Nc6,e2e3 b8c6,r1bqkbnr/pppppppp/2n5/8/8/4P3/PPPP1PPP/RNBQKBNR w - -,
Andryushkov Defence,1. e3 c6,e2e3 c7c6,rnbqkbnr/pp1ppppp/2p5/8/8/4P3/PPPP1PPP/RNBQKBNR w - -,
Marmaliser Defence,1. e3 a5,e2e3 a7a5,rnbqkbnr/1ppppppp/8/p7/8/4P3/PPPP1PPP/RNBQKBNR w - -,
Taelman Defence,1. e3 a6,e2e3 a7a6,rnbqkbnr/1ppppppp/p7/8/8/4P3/PPPP1PPP/RNBQKBNR w - -,
Iranian Defence,1. e3 f6,e2e3 f7f6,rnbqkbnr/ppppp1pp/5p2/8/8/4P3/PPPP1PPP/RNBQKBNR w - -,
Dutch Defence,1. e3 h5,e2e3 h7h5,rnbqkbnr/ppppppp1/8/7p/8/4P3/PPPP1PPP/RNBQKBNR w - -,
Wizard Attack,1. c4,c2c4,rnbqkbnr/pppppppp/8/8/2P5/8/PP1PPPPP/RNBQKBNR b - -,
Swedish Opening,1. g3,g2g3,rnbqkbnr/pppppppp/8/8/8/6P1/PPPPPP1P/RNBQKBNR b - -,
Laniakean Attack,1. a4,a2a4,rnbqkbnr/pppppppp/8/8/P7/8/1PPPPPPP/RNBQKBNR b - -,
Dragon Attack,1. Nh3,g1h3,rnbqkbnr/pppppppp/8/8/8/7N/PPPPPPPP/RNBQKB1R b - -,
German Opening,1. b3,b2b3,rnbqkbnr/pppppppp/8/8/8/1P6/P1PPPPPP/RNBQKBNR b - -,
Croatian Attack,1. g4,g2g4,rnbqkbnr/pppppppp/8/8/6P1/8/PPPPPP1P/RNBQKBNR b - -,
Steenhuis Attack,1. Na3,b1a3,rnbqkbnr/pppppppp/8/8/8/N7/PPPPPPPP/R1BQKBNR b - -,
Siberian Opening,1. a3,a2a3,rnbqkbnr/pppppppp/8/8/8/P7/1PPPPPPP/RNBQKBNR b - -,
Kitten Attack,1. b4,b2b4,rnbqkbnr/pppppppp/8/8/1P6/8/P1PPPPPP/RNBQKBNR b - -,
Avatar Opening,1. f3,f2f3,rnbqkbnr/pppppppp/8/8/8/5P2/PPPPP1PP/RNBQKBNR b - -,
Wolf Opening,1. c3,c2c3,rnbqkbnr/pppppppp/8/8/8/2P5/PP1PPPPP/RNBQKBNR b - -,
Beasley Opening,1. h3,h2h3,rnbqkbnr/pppppppp/8/8/8/7P/PPPPPPP1/RNBQKBNR b - -,
Nagorko Attack,1. h4,h2h4,rnbqkbnr/pppppppp/8/8/7P/8/PPPPPPP1/RNBQKBNR b - -,
Persian Attack,1. f4,f2f4,rnbqkbnr/pppppppp/8/8/5P2/8/PPPPP1PP/RNBQKBNR b - -,
Polar Bear Attack,1. Nc3,b1c3,rnbqkbnr/pppppppp/8/8/8/2N5/PPPPPPPP/R1BQKBNR b - -,
Atomic Attack,1. Nf3,g1f3,rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b - -,
Splitian Opening,1. d3,d2d3,rnbqkbnr/pppppppp/8/8/8/3P4/PPP1PPPP/RNBQKBNR b - -,
Queen's Pawn Attack,1. d4,d2d4,rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b - -,
King's Pawn Attack,1. e4,e2e4,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b - -,
Taelman's Proof,1. Nc3 d5,b1c3 d7d5,rnbqkbnr/ppp1pppp/8/3p4/8/2N5/PPPPPPPP/R1BQKBNR w - -,0-1
Taelman's Proof,1. Nf3 e5,g1f3 e7e5,rnbqkbnr/pppp1ppp/8/4p3/8/5N2/PPPPPPPP/RNBQKB1R w - -,0-1
Nagorko's Proof,1. f4 e5,f2f4 e7e5,rnbqkbnr/pppp1ppp/8/4p3/5P2/8/PPPPP1PP/RNBQKBNR w - -,0-1
Nagorko's Proof,1. h4 g5,h2h4 g7g5,rnbqkbnr/pppppp1p/8/6p1/7P/8/PPPPPPP1/RNBQKBNR w - -,0-1
Nye's Proof,1. h3 Nh6,h2h3 g8h6,rnbqkb1r/pppppppp/7n/8/8/7P/PPPPPPP1/RNBQKBNR w - -,0-1
Steenhuis's Proof,1. f3 e6,f2f3 e7e6,rnbqkbnr/pppp1ppp/4p3/8/8/5P2/PPPPP1PP/RNBQKBNR w - -,0-1
Steenhuis's Proof Improved,1. f3 d5,f2f3 d7d5,rnbqkbnr/ppp1pppp/8/3p4/8/5P2/PPPPP1PP/RNBQKBNR w - -,0-1
Steenhuis's Proof,1. a3 e6,a2a3 e7e6,rnbqkbnr/pppp1ppp/4p3/8/8/P7/1PPPPPPP/RNBQKBNR w - -,0-1
Classical System,1. c3 e6,c2c3 e7e6,rnbqkbnr/pppp1ppp/4p3/8/8/2P5/PP1PPPPP/RNBQKBNR w - -,
Steenhuis's Proof,1. c3 e5,c2c3 e7e5,rnbqkbnr/pppp1ppp/8/4p3/8/2P5/PP1PPPPP/RNBQKBNR w - -,0-1
Steenhuis's Proof,1. Na3 e6,b1a3 e7e6,rnbqkbnr/pppp1ppp/4p3/8/8/N7/PPPPPPPP/R1BQKBNR w - -,0-1
Reverse Open Game,1. b3 e6,b2b3 e7e6,rnbqkbnr/pppp1ppp/4p3/8/8/1P6/P1PPPPPP/RNBQKBNR w - -,
Goldovski Defence,1. g3 c5,g2g3 c7c5,rnbqkbnr/pp1ppppp/8/2p5/8/6P1/PPPPPP1P/RNBQKBNR w - -,
Classical System,1. a4 b5,a2a4 b7b5,rnbqkbnr/p1pppppp/8/1p6/P7/8/1PPPPPPP/RNBQKBNR w - -,
Modern System,1. a4 e6,a2a4 e7e6,rnbqkbnr/pppp1ppp/4p3/8/P7/8/1PPPPPPP/RNBQKBNR w - -,
Modest System,1. Na3 e6 2. b3,b1a3 e7e6 b2b3,rnbqkbnr/pppp1ppp/4p3/8/8/NP6/P1PPPPPP/R1BQKBNR b - -,0-1
Modest System,1. b3 e6 2. Na3,b2b3 e7e6 b1a3,rnbqkbnr/pppp1ppp/4p3/8/8/NP6/P1PPPPPP/R1BQKBNR b - -,0-1
Jarosz Attack,1. g4 g6 2. c4,g2g4 g7g6 c2c4,rnbqkbnr/pppppp1p/6p1/8/2P3P1/8/PP1PPP1P/RNBQKBNR b - -,
Jarosz Attack,1. c4 g6 2. g4,c2c4 g7g6 g2g4,rnbqkbnr/pppppp1p/6p1/8/2P3P1/8/PP1PPP1P/RNBQKBNR b - -,
Modest System,1. g4 g6 2. b3,g2g4 g7g6 b2b3,rnbqkbnr/pppppp1p/6p1/8/6P1/1P6/P1PPPP1P/RNBQKBNR b - -,
Wolf-Haupt Proof,1. g4 g6 2. Nh3,g2g4 g7g6 g1h3,rnbqkbnr/pppppp1p/6p1/8/6P1/7N/PPPPPP1P/RNBQKB1R b - -,0-1
Wolf-Haupt Proof,1. Nh3 g6 2. g4,g1h3 g7g6 g2g4,rnbqkbnr/pppppp1p/6p1/8/6P1/7N/PPPPPP1P/RNBQKB1R b - -,0-1
Double Jump,1. g4 g6 2. b4,g2g4 g7g6 b2b4,rnbqkbnr/pppppp1p/6p1/8/1P4P1/8/P1PPPP1P/RNBQKBNR b - -,0-1
Double Jump,1. b4 g6 2. g4,b2b4 g7g6 g2g4,rnbqkbnr/pppppp1p/6p1/8/1P4P1/8/P1PPPP1P/RNBQKBNR b - -,0-1
Modest System,1. b3 g6 2. g4,b2b3 g7g6 g2g4,rnbqkbnr/pppppp1p/6p1/8/6P1/1P6/P1PPPP1P/RNBQKBNR b - -,
Open Defence,1. Nh3 e6 2. e3,g1h3 e7e6 e2e3,rnbqkbnr/pppp1ppp/4p3/8/8/4P2N/PPPP1PPP/RNBQKB1R b - -,
Wanderertom Attack,1. g3 Nh6 2. c4,g2g3 g8h6 c2c4,rnbqkb1r/pppppppp/7n/8/2P5/6P1/PP1PPP1P/RNBQKBNR b - -,
Modest System,1. g3 Nh6 2. b3,g2g3 g8h6 b2b3,rnbqkb1r/pppppppp/7n/8/8/1P4P1/P1PPPP1P/RNBQKBNR b - -,
Wanderertom Attack,1. c4 Nh6 2. g3,c2c4 g8h6 g2g3,rnbqkb1r/pppppppp/7n/8/2P5/6P1/PP1PPP1P/RNBQKBNR b - -,
Modest System,1. b3 Nh6 2. g3,b2b3 g8h6 g2g3,rnbqkb1r/pppppppp/7n/8/8/1P4P1/P1PPPP1P/RNBQKBNR b - -,
Knight Gambit,1. g3 Nh6 2. g4,g2g3 g8h6 g3g4,rnbqkb1r/pppppppp/7n/8/6P1/8/PPPPPP1P/RNBQKBNR b - -,
Exchange Attack,1. g3 c5 2. b4,g2g3 c7c5 b2b4,rnbqkbnr/pp1ppppp/8/2p5/1P6/6P1/P1PPPP1P/RNBQKBNR b - -,
Steenhuis's Proof,1. c4 b6 2. a4,c2c4 b7b6 a2a4,rnbqkbnr/p1pppppp/1p6/8/P1P5/8/1P1PPPPP/RNBQKBNR b - -,1-0
Steenhuis's Proof,1. a4 b6 2. c4,a2a4 b7b6 c2c4,rnbqkbnr/p1pppppp/1p6/8/P1P5/8/1P1PPPPP/RNBQKBNR b - -,1-0
Wing System,1. a4 b6 2. e3,a2a4 b7b6 e2e3,rnbqkbnr/p1pppppp/1p6/8/P7/4P3/1PPP1PPP/RNBQKBNR b - -,1-0
Frâncu's Proof,1. c4 f5 2. e4,c2c4 f7f5 e2e4,rnbqkbnr/ppppp1pp/8/5p2/2P1P3/8/PP1P1PPP/RNBQKBNR b - -,1-0
Frâncu's Proof,1. c4 Na6 2. c5,c2c4 b8a6 c4c5,r1bqkbnr/pppppppp/n7/2P5/8/8/PP1PPPPP/RNBQKBNR b - -,1-0
Frâncu's Proof,1. c4 h5 2. g4,c2c4 h7h5 g2g4,rnbqkbnr/ppppppp1/8/7p/2P3P1/8/PP1PPP1P/RNBQKBNR b - -,1-0
Steenhuis's Proof,1. c4 h5 2. a4,c2c4 h7h5 a2a4,rnbqkbnr/ppppppp1/8/7p/P1P5/8/1P1PPPPP/RNBQKBNR b - -,1-0
Steenhuis's Proof,1. c4 f6 2. a4,c2c4 f7f6 a2a4,rnbqkbnr/ppppp1pp/5p2/8/P1P5/8/1P1PPPPP/RNBQKBNR b - -,1-0
Steenhuis's Proof,1. c4 h6 2. a4,c2c4 h7h6 a2a4,rnbqkbnr/ppppppp1/7p/8/P1P5/8/1P1PPPPP/RNBQKBNR b - -,1-0
Steenhuis's Proof,1. c4 g5 2. a4,c2c4 g7g5 a2a4,rnbqkbnr/pppppp1p/8/6p1/P1P5/8/1P1PPPPP/RNBQKBNR b - -,1-0
Steenhuis's Proof,1. c4 Nh6 2. a4,c2c4 g8h6 a2a4,rnbqkb1r/pppppppp/7n/8/P1P5/8/1P1PPPPP/RNBQKBNR b - -,1-0
Wizard Hybrid,1. c4 e6 2. e3,c2c4 e7e6 e2e3,rnbqkbnr/pppp1ppp/4p3/8/2P5/4P3/PP1P1PPP/RNBQKBNR b - -,
Steenhuis's Proof,1. a4 h5 2. c4,a2a4 h7h5 c2c4,rnbqkbnr/ppppppp1/8/7p/P1P5/8/1P1PPPPP/RNBQKBNR b - -,1-0
Steenhuis's Proof,1. a4 f6 2. c4,a2a4 f7f6 c2c4,rnbqkbnr/ppppp1pp/5p2/8/P1P5/8/1P1PPPPP/RNBQKBNR b - -,1-0
Steenhuis's Proof,1. a4 h6 2. c4,a2a4 h7h6 c2c4,rnbqkbnr/ppppppp1/7p/8/P1P5/8/1P1PPPPP/RNBQKBNR b - -,1-0
Steenhuis's Proof,1. a4 g5 2. c4,a2a4 g7g5 c2c4,rnbqkbnr/pppppp1p/8/6p1/P1P5/8/1P1PPPPP/RNBQKBNR b - -,1-0
Steenhuis's Proof,1. a4 Nh6 2. c4,a2a4 g8h6 c2c4,rnbqkb1r/pppppppp/7n/8/P1P5/8/1P1PPPPP/RNBQKBNR b - -,1-0
Central Wizard Attack,1. c4 e6 2. c5,c2c4 e7e6 c4c5,rnbqkbnr/pppp1ppp/4p3/2P5/8/8/PP1PPPPP/RNBQKBNR b - -,
Modest Opening,1. e3 e6 2. b3,e2e3 e7e6 b2b3,rnbqkbnr/pppp1ppp/4p3/8/8/1P2P3/P1PP1PPP/RNBQKBNR b - -,
Modest Opening,1. b3 e6 2. e3,b2b3 e7e6 e2e3,rnbqkbnr/pppp1ppp/4p3/8/8/1P2P3/P1PP1PPP/RNBQKBNR b - -,
Wing Opening,1. e3 e6 2. a4,e2e3 e7e6 a2a4,rnbqkbnr/pppp1ppp/4p3/8/P7/4P3/1PPP1PPP/RNBQKBNR b - -,
Wing Opening,1. a4 e6 2. e3,a2a4 e7e6 e2e3,rnbqkbnr/pppp1ppp/4p3/8/P7/4P3/1PPP1PPP/RNBQKBNR b - -,
Wizard Hybrid,1. e3 e6 2. c4,e2e3 e7e6 c2c4,rnbqkbnr/pppp1ppp/4p3/8/2P5/4P3/PP1P1PPP/RNBQKBNR b - -,
Watkins's Proof,1. e3 e6 2. b4,e2e3 e7e6 b2b4,rnbqkbnr/pppp1ppp/4p3/8/1P6/4P3/P1PP1PPP/RNBQKBNR b - -,1-0
Watkins's Proof,1. b4 e6 2. e3,b2b4 e7e6 e2e3,rnbqkbnr/pppp1ppp/4p3/8/1P6/4P3/P1PP1PPP/RNBQKBNR b - -,1-0
